model,rating,reviews,memory,size,camera,battery,processor,warranty,price,original_price,discounted_percentage
"REDMI 12 (Pastel Blue, 128 GB)",4.2,"41,261 Ratings & 2,916 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹10,499","₹15,999",34% off
"realme Narzo N53 (Feather Gold, 128 GB)",4.2,799 Ratings & 52 Reviews,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,"Android 13, Realme UI T Processor",Domestic 1 Year on Handset and 6 Months on Accessories,"₹9,015","₹13,999",35% off
Kechaoda K112,4,"25,352 Ratings & 2,525 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,3600 mAh Battery,"MediaTek MT6261D
Number of cores: 1
GPU: - Processor",1 Year Company Domestic Warranty by Company Authorized Service Center.,"₹1,590","₹1,999",20% off
SAMSUNG Guru Music 2,4.2,"2,26,996 Ratings & 20,682 Reviews",NA ROM,5.08 cm (2 inch) NA Display,800 mAh Battery,0 0 0 208MHz Processor,NO WARRANTY,No Warranty,"₹1,220","₹2,499",51% off
Kechaoda K112,4,"25,352 Ratings & 2,525 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,3600 mAh Battery,1 Year Company Domestic Warranty by Company Authorized Service Center.,No Warranty,"₹1,599","₹1,799",11% off
LAVA A3 Vibe DS Keypad Mobile| 1750 mAh Battery|Expandable Storage 32GB,4.1,593 Ratings & 62 Reviews,32 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Display,0.3MP Rear Camera | 0.3MP Front Camera,1750 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,No Warranty,"₹1,149","₹1,599",28% off
"REDMI 12 (Moonstone Silver, 128 GB)",4.2,"41,261 Ratings & 2,916 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹10,499","₹15,999",34% off
"IQOO Z7s 5G (Norway Blue, 128 GB)",4.3,"3,365 Ratings & 230 Reviews",6 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Display,64MP Rear Camera,4500 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,No Warranty,"₹14,972","₹23,999",37% off
"realme Narzo N53 (Feather Black, 64 GB)",4.2,"6,130 Ratings & 364 Reviews",4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Full HD Display,50MP Rear Camera,5000 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,No Warranty,"₹7,910","₹10,999",28% off
"realme Narzo 60X 5G (Nebula Purple, 128 GB)",4.3,"3,212 Ratings & 223 Reviews",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,5000 mAh Battery,mediatek dimensity 6100 plus processor Processor,Domestic Warranty 1 Year For Handset and 6 Months For Accessories.,"₹12,777","₹15,999",20% off
